center	of mass	green		blue		red	
center_x	center_y	object_intensity	cm_intensity	object_intensity	cm_intensity	object_intensity	cm_intensity
323	364	3387	2	3448	2	10070	3
120	368	2060	2	1400	2	10507	3
320	350	3262	2	676	2	5343	3
8	325	1272	2	3148	2	13667	3
340	299	1888	2	1272	2	4588	3
321	276	875	2	2851	2	13463	3
353	277	1762	2	4808	2	9451	3
252	246	2698	2	1653	4	4786	5
221	170	1248	2	1865	2	14688	3
371	102	5145	11	715	4	5390	18
277	98	2821	2	8940	2	5284	3
344	277	1322	3	16371	2	5612	3
57	209	3198	2	9170	2	2183	3
276	97	2988	5	8533	2	4966	3
276	97	2988	5	8533	2	4966	3
