center	of mass	green		blue		red	
center_x	center_y	object_intensity	cm_intensity	object_intensity	cm_intensity	object_intensity	cm_intensity
251	340	1541	2	1190	2	5682	3
280	299	2272	2	3127	2	5752	3
278	285	1610	25	3408	45	15833	33
288	264	1613	4	2134	2	16821	3
292	236	5854	2	1757	2	5329	3
288	225	2056	2	1148	2	5792	3
294	187	1325	2	1154	2	5733	3
301	144	2400	2	9113	2	5272	3
315	86	4558	3	1814	2	5467	3
203	81	1861	6	1820	2	14445	3
327	68	1279	2	1798	2	8087	3
345	34	1092	5	2118	2	12174	3
383	9	1375	2	3310	2	6586	3
300	150	3060	2	7431	2	3353	3
360	22	4328	4	18150	2	2684	3
