center	of mass	green		blue		red	
center_x	center_y	object_intensity	cm_intensity	object_intensity	cm_intensity	object_intensity	cm_intensity
121	367	1520	2	1316	2	9875	3
321	361	3076	2	2450	2	6817	3
9	325	1176	2	3167	2	14066	3
340	299	1888	2	1272	2	4588	3
321	276	875	2	2851	2	13463	3
352	279	2278	2	5585	2	7018	3
250	246	2246	19	1462	9	4391	17
222	170	1267	2	1912	2	15081	3
371	103	5042	34	735	4	5479	45
276	97	2988	5	8533	2	4966	3
344	277	1322	3	16371	2	5612	3
57	209	3198	2	9170	2	2183	3
276	97	2988	5	8533	2	4966	3
