center	of mass	green			blue			red		
center_x	center_y	object_intensity	cm_intensity	avg_intensity	object_intensity	cm_intensity	avg_intensity	object_intensity	cm_intensity	avg_intensity
161	377	17947	213	1794	17059	255	1705	2432	32	243
273	211	6867	71	686	14813	231	1481	2141	32	214
43	193	5323	33	532	9526	166	952	5662	95	566
264	194	4474	22	447	5798	37	579	11405	98	1140
17	153	12919	101	1291	2016	39	201	6007	83	600
134	137	11768	109	1176	810	11	81	5839	87	583
42	92	8739	97	873	9037	137	903	5214	85	521
43	193	5323	33	532	9526	166	952	5662	95	566
270	202	8068	77	806	8027	45	802	4955	26	495
18	153	11683	160	1168	2010	40	201	6054	85	605
17	153	12919	101	1291	2016	39	201	6007	83	600
42	92	8739	97	873	9037	137	903	5214	85	521
