center	of mass	green		blue		red	
center_x	center_y	object_intensity	cm_intensity	object_intensity	cm_intensity	object_intensity	cm_intensity
121	369	1647	13	1706	20	12944	204
321	360	2920	28	1977	16	6304	89
340	281	947	11	7793	112	2964	43
253	246	2855	43	1657	21	4699	54
57	209	3198	44	9170	129	2183	29
221	170	1248	3	1865	21	14688	194
371	102	5145	62	715	10	5390	74
276	97	2988	42	8533	106	4966	65
120	367	1921	10	1220	18	9049	162
320	366	3773	69	5278	75	6328	78
340	305	896	13	1217	18	5974	64
339	277	1015	10	8164	123	3048	38
339	279	816	13	7758	122	2858	42
253	246	2855	43	1657	21	4699	54
57	209	3198	44	9170	129	2183	29
222	170	1267	16	1912	27	15081	189
221	170	1248	3	1865	21	14688	194
276	97	2988	42	8533	106	4966	65
