center	of mass	green		blue		red	
center_x	center_y	object_intensity	cm_intensity	object_intensity	cm_intensity	object_intensity	cm_intensity
299	393	8303	84	1045	17	2094	29
250	341	1544	11	1213	13	5742	67
283	286	2633	7	2439	39	9903	173
293	206	1347	16	2426	22	1847	17
300	150	3060	44	7431	96	3353	41
203	81	1861	28	1820	18	14445	192
321	76	1452	11	1746	19	3112	33
349	31	1404	25	3182	52	15550	234
384	8	1485	14	3265	49	6486	99
282	290	2798	32	2170	32	8690	140
282	288	2523	15	2456	45	10715	200
292	237	5606	82	1793	22	5438	73
294	206	1431	36	2477	30	1910	20
293	206	1347	16	2426	22	1847	17
297	173	1289	11	3114	44	2256	34
300	150	3060	44	7431	96	3353	41
203	81	1861	28	1820	18	14445	192
323	74	1367	15	2075	23	3774	41
322	75	1265	12	1951	12	3434	44
352	28	1605	43	3920	49	12677	211
350	29	1481	27	3321	40	15406	198
383	9	1375	8	3310	45	6586	88
383	8	1388	6	3234	46	6454	108
