center	of mass	green		blue		red	
center_x	center_y	object_intensity	cm_intensity	object_intensity	cm_intensity	object_intensity	cm_intensity
338	377	1414	10	3117	35	14908	207
357	348	1620	20	2897	36	2224	29
374	330	2288	36	8791	139	5163	67
306	287	3944	25	1024	16	2167	28
344	300	755	5	1128	14	4263	59
150	262	2726	33	898	13	1800	23
380	243	2436	36	9777	135	2320	32
292	236	983	4	1172	10	5800	82
188	154	1657	32	5498	55	3634	40
337	120	971	16	2638	38	2111	26
63	90	5133	49	1586	25	4584	57
230	85	3858	40	980	17	2021	24
32	82	1637	28	5227	80	14613	186
378	52	2458	30	2430	24	6832	78
338	377	1414	10	3117	35	14908	207
360	324	987	9	1381	8	743	7
380	243	2436	36	9777	135	2320	32
194	153	883	7	15121	196	5070	72
337	120	971	16	2638	38	2111	26
63	90	5133	49	1586	25	4584	57
32	82	1637	28	5227	80	14613	186
379	51	2107	13	2891	35	8331	106
378	51	2164	18	2642	42	7563	113
